PM2.5, PM10, SO2, NO2, CO, O3, U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, 
85.55,142.42,4.71,19.65,1.19,36.81,-2.52,-0.74,282.7,82.89,93185.77,28.01,109.23, 
89.68,144.77,4.6,20.55,1.21,36.69,-2.28,-1.85,283.2,79.59,94157.52,28.01,109.38, 
98.54,151.29,4.66,22.23,1.25,37.38,-1.33,-2.85,284.23,75.21,96111.18,28,109.53, 
110.63,163.16,5.27,24.6,1.32,37.07,-0.57,-3.08,285.17,72.33,97781.99,27.99,109.69, 
121.51,174.26,6.23,26.3,1.38,36.98,-0.38,-3.06,285.8,70.06,98449.6,27.99,109.84, 
127.71,182.63,7.44,28.58,1.46,36.62,-0.27,-2.84,286.51,67.61,99154.49,27.98,109.99, 
129.79,183.78,7.81,28.44,1.48,37.95,-0.35,-2.64,287.28,65.21,99634.11,27.98,110.15, 
127.11,179.22,7.41,25.87,1.44,43.75,-2,-1.11,286.83,66.24,97698.08,27.97,110.3, 
129.05,182.01,7.61,25.07,1.47,48.25,-3.49,-1.61,286.14,67.9,96658.52,27.96,110.45, 
129.34,186.24,7.78,24.93,1.52,50.07,-3.4,-2.53,287,64.99,97973.8,27.95,110.61, 
129.34,189.11,7.79,24.31,1.55,51.2,-3.77,-0.92,287,65.24,97298.03,27.95,110.76, 
133.07,196.03,8.24,24.99,1.6,51.64,-3.95,1.4,285.45,70.09,95292.95,27.94,110.91, 
139.34,206.96,8.78,26.66,1.69,53.47,-2.61,1.19,285.15,70.58,95492.45,27.93,111.07, 
141.99,215.39,9.17,27.9,1.78,55.33,-1.75,-0.35,286.71,64.93,97706.41,27.92,111.22, 
142.28,219.43,9.03,26.58,1.83,59.53,-2.46,-2.09,286.94,63.87,97903.52,27.92,111.37, 
144.02,223.69,8.79,25.83,1.86,60.61,-2.55,-2.26,285.63,68.66,96052.38,27.91,111.53, 
144.96,226.02,8.06,24.42,1.87,63.22,-1.55,-2.6,285.75,68.27,96200.62,27.9,111.68, 
146.57,229.16,7.46,24.23,1.87,65.52,-1.19,-3.21,287.19,63.8,98252.19,27.89,111.83, 
150.43,235.96,7.2,24.72,1.9,67.25,-1.53,-3.97,287.88,61.69,99423.48,27.88,111.99, 
158.49,247.12,7.04,26.86,1.93,65.5,-1.18,-4.61,287.68,62.83,99774.3,27.87,112.14, 
167.4,256.22,6.67,29.04,1.92,61.66,-0.38,-4.67,287.73,64.07,100080.84,27.86,112.29, 
178.32,263.22,6.4,31.29,1.85,58.11,0.35,-5.04,288.03,64.32,100355.77,27.85,112.45, 
195.46,271.62,6.19,37.37,1.74,51.41,0.78,-4.92,288.81,64.32,101003.27,27.85,112.6, 
242.93,305.61,7.28,53.17,1.61,37.66,0.63,-4.59,289.54,62.95,101486.9,27.84,112.75, 
279.4,332.37,12.97,55.26,1.56,33.56,0.63,-4.32,289.73,60.92,101474.03,27.83,112.9, 
274.76,320.8,18.19,56.85,1.55,33.88,0.62,-3.98,289.81,60.08,101321.77,27.82,113.06, 
237.74,278.25,16.49,49.41,1.46,39.02,0.57,-3.78,289.99,59.51,101432.79,27.8,113.21, 
195.3,230.44,15.3,37.56,1.37,42.92,0.65,-3.37,289.72,60.76,100639.73,27.79,113.36, 
150.49,185.86,20.21,36.13,1.48,43.21,-0.2,-2.24,289.8,60.5,99642.57,27.78,113.52, 
132.89,172.47,23.61,39.45,1.7,40.28,-1.35,-1.41,289.98,60.83,100118.8,27.77,113.67, 
127.03,170.57,23.25,38.53,1.85,40.18,-2.11,-0.39,289.98,61,100096.38,27.76,113.82, 
106.29,145.55,21.61,32.35,1.67,44.11,-2.52,-0.2,289.91,60.88,99720.51,27.75,113.97, 
82.18,114.71,19.5,24.52,1.35,50.24,-2.36,-0.05,289.72,61.29,99208.37,27.74,114.13, 
70.4,100.84,19.6,22.62,1.2,53.79,-2.18,0.59,289.58,61.57,98709.37,27.73,114.28, 
66.95,98.03,21.25,24.62,1.17,53.63,-2,0.43,289.34,63.32,98976.38,27.71,114.43, 
63.52,98.51,23.27,28.36,1.18,52.18,-1.7,-0.61,289.13,65.33,99177.73,27.7,114.58, 
66.57,105.04,25.37,34.38,1.22,49.4,-1.35,-1.41,289.26,66.52,100130.09,27.69,114.74, 
67.61,107.81,25.94,36.8,1.19,49.71,-1.14,-1.81,289.44,67.25,100835.02,27.68,114.89, 
65.6,105.96,22.79,33.76,1.09,52.03,-1.16,-2.17,289.56,67,100924.47,27.67,115.04, 
68.92,107.98,22.45,35.32,1.08,51.44,-0.99,-2.27,289.79,66,101344.69,27.65,115.19, 
70.52,109.47,22.28,35.61,1.08,50.97,-0.89,-1.95,290.17,62.84,101109.65,27.64,115.35, 
67.32,102.85,20,30.42,1,55.37,-1.4,-1.47,290.44,59.31,100176.03,27.63,115.5, 
64.59,97.09,17.31,24.95,0.93,59.62,-1.93,-1.52,290.4,59.6,100266.49,27.61,115.65, 
67.68,100.1,16.64,23.64,0.95,59.66,-1.77,-1.37,290.21,60.26,99943.28,27.6,115.8, 
64.94,93.52,15.27,18.21,0.87,65.38,-0.88,-0.41,289.82,60.43,98353.11,27.59,115.96, 
61.71,87.36,14.56,15.5,0.83,68.47,0.11,-0.22,290.05,60.69,98955.88,27.57,116.11, 
55.97,77.43,13.31,13.45,0.75,69.21,-0.19,0.44,290.42,60.54,99725.8,27.56,116.26, 
48.93,65.87,12.88,12.28,0.65,66.46,-1.15,0.99,289.9,62.95,98498.75,27.54,116.41, 
47.92,63.47,13.44,14.61,0.64,59.86,-1.66,0.95,289.55,65.85,98645.15,27.53,116.56, 
44.63,58.58,13.33,14.72,0.6,57.01,-2.4,0.64,290.17,65.16,99850.53,27.51,116.72, 
43.16,56.33,13.43,15.36,0.59,54.57,-2.95,0.79,290.17,65.48,99226.34,27.5,116.87, 
42.44,55.38,13.81,16.21,0.57,53.78,-2.84,1.09,289.44,68.64,97943.84,27.48,117.02, 
41.53,54.44,15.18,19.3,0.55,52.55,-3.2,1.61,288.86,70.72,96840.62,27.47,117.17, 
42.27,56.29,17.44,23.34,0.58,50.85,-3.38,1.36,287.97,72.95,95712.41,27.45,117.32, 
40.38,54.54,16.21,20.19,0.57,54.22,-2.46,0.08,288.11,72.07,96254.16,27.44,117.48, 
36.17,49.25,11.27,11.09,0.53,62.26,-1.22,-0.69,288.61,69.82,97431.2,27.42,117.63, 
35.72,49.2,10.2,9.29,0.52,65.57,-0.39,-0.78,288.81,69.56,98311.91,27.4,117.78, 
35.31,49.55,10.29,10.2,0.52,64.48,0.02,-0.68,288.84,69.91,99545.8,27.39,117.93, 
32.96,47.52,11.51,14.49,0.53,59.82,0.05,-0.44,289.09,71.13,100210.68,27.37,118.08, 
28.37,41.75,9.21,12.18,0.48,61.63,-0.42,-0.27,289.56,70.62,99543.13,27.35,118.23, 
27.04,40.76,8.28,11.54,0.46,61.38,-0.61,0.07,289.22,71.6,97011.2,27.34,118.38, 
23.81,35.65,6.6,8.98,0.4,64.85,-0.44,0.49,288.79,73.22,95768.88,27.32,118.54, 
20.89,31.05,5.88,7.51,0.36,66.66,-1.04,0.51,289.43,71,97342.22,27.3,118.69, 
19.71,29.3,5.66,7.06,0.34,66.77,-2.21,1.67,289.21,70.75,95844.46,27.29,118.84, 
21.1,30.69,5.54,6.91,0.33,66.91,-1.99,1.47,286.78,78.94,92021.92,27.27,118.99, 
22.72,33.29,5.54,7.58,0.34,64.89,-0.73,0.86,285.95,82.69,90848.3,27.25,119.14, 
24.3,37.38,5.89,9.04,0.37,62.34,-0.02,0.68,286.68,82.5,92056.89,27.23,119.29, 
26.15,41.44,6.59,11.19,0.41,57.67,0.38,-0.26,288.11,82.91,95455.33,27.21,119.44, 
27.32,45.86,8.22,15.05,0.47,52.45,-0.01,-1.26,289.44,80.43,98114.95,27.2,119.59, 
25.4,41.3,6.27,12.26,0.43,56.12,-2.06,-1.26,288.67,84,96100.74,27.18,119.74, 
25.55,41.11,5.66,11.73,0.41,56.24,-2.76,-1.68,287.43,89.74,93987.05,27.16,119.89, 
24.47,38.76,6.16,12.03,0.4,59.57,-1.53,-2.46,288.27,91.96,95861.91,27.14,120.05, 
21.1,33.69,5.83,11.36,0.35,64.83,-0.72,-3.5,290.12,89.93,98994.62,27.12,120.2, 
22.95,33.17,7.26,14.15,0.34,63.64,-0.7,-4.28,290.82,88.51,101038.14,27.1,120.35, 
12.52,13.89,1.2,0.88,0.16,86.67,-0.17,1.39,280.41,51.73,77255.36,27.49,91.75, 
10.09,11.14,0.92,0.77,0.14,81.58,2.16,-0.19,274.92,58.07,69104.18,27.51,91.9, 
8.57,9.46,0.76,0.6,0.13,80.05,5.72,-3.33,273.19,53.63,65666.73,27.52,92.05, 
8.03,8.83,0.73,0.5,0.13,80.76,4.74,-1.45,274.35,53.15,66563.11,27.54,92.2, 
7.5,8.21,0.69,0.46,0.13,81.94,2.15,0.43,275.62,59.86,69883.55,27.55,92.36, 
7.61,8.29,0.69,0.85,0.14,85.83,0.4,1.94,276.97,63.09,73633.75,27.57,92.51, 
11.87,12.78,0.96,1.57,0.16,89.37,-0.79,2.21,277.13,72.31,75332.62,27.59,92.66, 
11.22,12.12,0.95,1.22,0.16,88.94,-1.3,0.55,279.63,65.2,78586.79,27.6,92.81, 
10.5,11.34,0.9,1.13,0.16,87.12,-1.57,-1.42,283.14,56.28,83591.44,27.62,92.96, 
10.61,11.41,0.87,1.09,0.15,85.17,-1.14,-0.88,282.99,59.12,83303.34,27.63,93.11, 
12.29,13.07,0.86,1.48,0.15,84.64,-0.8,0.07,278.59,75.43,76846.97,27.65,93.27, 
13.6,14.39,0.89,1.67,0.16,85.63,-0.52,0.4,277.41,82.46,75755.74,27.66,93.42, 
11.99,12.76,0.89,2.42,0.16,85.65,0.51,-0.67,281.47,66.46,81409.89,27.68,93.57, 
11.77,12.56,0.93,2.72,0.16,85.09,0.68,-1.21,283.27,61.23,84320.53,27.69,93.72, 
12.29,13.14,0.98,2.98,0.16,85.03,0.48,-0.56,283.86,60.15,85474.49,27.71,93.88, 
11.51,12.29,0.98,3.18,0.16,83.62,1.21,-1.17,285.3,56.18,87488.84,27.72,94.03, 
10.77,11.53,1,3.6,0.16,82.07,1.78,-2.88,288.13,48.39,90951.88,27.73,94.18, 
11.15,12.01,1.14,4.15,0.16,80.46,0.87,-3.61,290.37,43.41,94874.77,27.75,94.33, 
12.84,13.96,1.34,4.54,0.17,79.08,-1.8,-2.43,290.8,43.83,95431.5,27.76,94.49, 
13.93,15.17,1.44,4.68,0.17,77.86,-2.93,-2.5,290.09,45.75,93233.58,27.77,94.64, 
14.29,15.54,1.57,4.45,0.18,76.65,-1.79,-3.65,290.05,45.55,93593.12,27.79,94.79, 
14.36,15.69,1.82,3.96,0.18,76.79,-1.11,-3.59,291.95,41.83,97397.83,27.8,94.94, 
8.63,9.09,0.84,2.31,0.12,79.21,-0.5,-0.05,283.08,43.25,81365.09,27.94,96.78, 
7.45,7.86,0.72,1.97,0.11,79.24,-0.82,-0.09,280.17,44.17,76648.81,27.95,96.93, 
5.52,5.84,0.55,0.55,0.09,78.33,0.72,-0.66,274.33,51.36,68623.88,27.96,97.08, 
5.78,6.1,0.52,0.57,0.1,75.99,6.09,-2.01,268.76,60.31,61803.07,27.97,97.24, 
6.21,6.73,0.71,0.39,0.11,76.09,3.93,4.46,272.04,70,68074.05,28.03,98.16, 
6.31,6.99,0.81,0.65,0.11,72.8,1.7,4.72,273.35,66.82,70459.77,28.04,98.31, 
6.37,7.11,0.88,0.75,0.12,74.53,0.98,3.96,273.16,65.07,69622.42,28.04,98.46, 
5.95,6.7,0.98,0.73,0.12,78.37,2.73,1.59,272.9,63.48,68964.96,28.05,98.62, 
5.83,6.62,0.91,0.78,0.12,76.67,4.68,2.84,273.45,59.69,69123.09,28.06,98.77, 
5.63,6.52,0.87,0.81,0.13,76.23,5.13,1.84,274.29,56.54,70156.77,28.07,98.92, 
5.74,6.76,0.83,0.79,0.14,74.52,7.27,1.75,272.04,60.71,67278,28.08,99.08, 
5.84,7.08,0.87,1.19,0.16,72.46,7.04,2.24,273.14,55.48,67948.37,28.08,99.23, 
6,7.56,1.01,2.26,0.22,74.73,3.05,3.59,275.69,47.88,70727.34,28.09,99.38, 
6.25,8,1.59,2.55,0.24,73.67,5.23,4.06,272.69,54.04,66762.49,28.1,99.54, 
5.93,7.43,1.55,2.19,0.22,74.2,8.55,3.49,270.99,56.89,64665.74,28.1,99.69, 
5.68,7,1.33,1.81,0.2,74.54,9.49,2.16,269.12,60.91,62787.25,28.11,99.85, 
5.26,6.34,1.13,1.34,0.17,76.15,12.3,2.16,269.49,54.3,62150.93,28.12,100, 
4.8,5.78,1.05,1.22,0.16,74.82,10.45,0.39,273.58,41.45,65471.21,28.12,100.15, 
4.53,5.38,0.92,1.01,0.15,74.27,7.74,-3.04,273.8,40.63,65839.06,28.13,100.31, 
4.36,5.03,0.83,0.83,0.14,75.24,9.13,-0.74,273.08,41.06,64939.46,28.14,100.46, 
4.13,4.57,0.79,0.67,0.13,78.79,10.83,3.02,273.4,38.73,64830.92,28.14,100.61, 
4.19,4.66,0.83,0.97,0.14,75.01,10.94,3.03,274.65,34.8,65725.58,28.15,100.77, 
4.58,5.32,1.11,1.68,0.15,72,7.06,2.8,276.67,33.14,68543.04,28.15,100.92, 
5.6,6.78,1.6,2.24,0.18,71.28,7.01,3.1,274.09,40.34,66386.92,28.16,101.07, 
7.42,9.65,2.65,2.55,0.22,70.47,9.86,3.09,274.03,43.31,66330.41,28.16,101.23, 
8.81,11.78,3.31,3.04,0.26,68.15,6.32,2.23,278.5,39.18,71700.76,28.17,101.38, 
10.68,14.2,3.75,3.54,0.3,68.6,4.03,1.93,277.52,43.89,71094.67,28.17,101.54, 
11.86,15.73,3.79,4.35,0.33,66.38,7.13,2.77,275.78,51.32,69748.66,28.18,101.69, 
13.94,18.61,4.5,5.93,0.4,64.02,6.66,2.27,277.96,50.71,72485.38,28.18,101.84, 
19.72,26.03,7.5,9.49,0.62,59.75,1.78,1.26,280.68,51.57,77062.93,28.18,102, 
22.87,30.54,9.31,11.26,0.68,61.33,-0.95,4.18,281.07,55.6,79360.11,28.19,102.15, 
20.06,27.01,9.31,9.57,0.52,60.05,1.09,7.96,278.59,60.99,75630.76,28.19,102.31, 
19.95,27.13,8.93,9.05,0.5,59.94,4.35,7.88,277.54,61.79,73853.39,28.19,102.46, 
20.22,27.97,8.44,8.42,0.48,61.17,4.56,6.97,277.83,60.2,73856.2,28.2,102.61, 
22.24,30.51,8.22,8.56,0.49,61.38,3.65,5.23,277.39,64.83,73714.51,28.2,102.77, 
23.52,32.66,7.79,8.65,0.48,61.23,2.55,5.33,278.24,65.69,75543.35,28.2,102.92, 
24.43,34.06,7.16,8.58,0.45,61.61,2.92,5.1,277.6,67.85,74899.43,28.21,103.08, 
25.95,36.11,6.62,8.46,0.43,61.82,4.31,3.92,277.14,69.38,74012.05,28.21,103.23, 
35.46,50.06,7.51,11.03,0.47,56.38,1.21,2.52,278.77,72.7,78465.45,28.21,103.38, 
50.31,70.95,8.66,16.2,0.58,50.34,-1.34,-0.27,279.38,84.71,83901.63,28.21,103.54, 
51.57,73.26,8.56,18.02,0.58,50.26,-0.97,-0.26,281.4,78.34,86903.6,28.21,103.69, 
53.43,75.29,8.28,18.35,0.6,49.97,-0.87,0.07,281.24,79.61,86969.42,28.22,103.85, 
56.97,79,8.31,18.68,0.63,49.69,-0.26,-0.69,280.46,83.86,86510.34,28.22,104, 
58.83,81.76,8.43,19.84,0.67,48.02,0.31,-1.57,283.08,74.25,90144.23,28.22,104.15, 
61.54,86.22,8.93,22.01,0.74,45.33,0.74,-1.52,285.17,67.67,93392.87,28.22,104.31, 
60.93,86.86,9.38,22.95,0.78,43.86,1.05,-0.64,285.67,66.91,94554.11,28.22,104.46, 
58.83,85.55,10.28,24.11,0.81,42.46,1.06,-0.44,285.89,66.73,94825.1,28.22,104.62, 
53.89,81.15,9.89,21.86,0.82,42.46,0.43,-0.59,285.5,68.53,94306.55,28.22,104.77, 
50.51,76.86,9.98,20.69,0.8,41.72,-0.03,-0.3,284.55,72,92585.25,28.22,104.92, 
51.88,76.24,10.08,20.06,0.76,40.15,1.02,-0.01,283.62,75.94,90870.45,28.22,105.08, 
47.8,70.86,10.16,20.68,0.73,37.89,2.48,-0.28,285.86,68.51,93529.83,28.22,105.23, 
44.1,65.4,10.2,20.99,0.7,35.39,1.8,1.42,287.11,65.8,95215.98,28.22,105.39, 
44.51,64.35,10.24,20.16,0.68,35.14,0.19,4.29,284.27,76.01,91262.16,28.22,105.54, 
45.89,65.52,10.23,20.86,0.67,33.56,0.07,4.18,281.43,87.81,88002.14,28.22,105.69, 
45.17,64.53,10.09,21.92,0.66,31.79,0.54,2.6,282.31,84.45,89776.81,28.22,105.85, 
42.69,61.07,9.77,22.51,0.64,30.6,-0.9,2.44,284.14,78.37,92874.58,28.22,106, 
41.08,58.23,9.73,23.12,0.63,30.39,-2.34,2.56,283.33,82.68,92123.11,28.22,106.15, 
40.1,55.99,9.88,22.53,0.62,31.12,-2.05,2.2,283,83.94,91610.99,28.21,106.31, 
39.69,53.84,10.51,20.58,0.6,32.74,-2.27,2.99,283.07,84.47,91448.15,28.21,106.46, 
40.49,53.35,11.67,17.77,0.59,35.61,-2.58,3.85,281.83,89.36,89292.55,28.21,106.62, 
40.09,52.16,12.52,17.1,0.6,36.25,-2.03,3.4,280.99,92.49,88050.54,28.21,106.77, 
42.41,53.02,13.53,15.27,0.59,37.45,-1.17,2.78,281.03,92.27,88351.88,28.21,106.92, 
47.93,56.87,14.87,12.03,0.57,40.09,-0.56,2.08,281.6,89.94,89402.16,28.2,107.08, 
52.7,61.24,16.51,10.92,0.57,41.72,-0.82,2.16,282.18,87.81,90287.8,28.2,107.23, 
56.77,67.99,17.9,11.51,0.6,41.35,-1.89,2.58,282.22,88.96,90814.8,28.2,107.39, 
59.28,75.34,18.92,13.19,0.65,38.45,-2.46,2.22,281.65,92.6,90578.49,28.19,107.54, 
62.72,86.08,19.88,13.47,0.71,36.99,-2.1,1.81,281.68,93.35,90966.83,28.19,107.69, 
68.85,99.26,22.47,11.62,0.76,38.25,-1.98,1.9,282.13,92.06,91625.02,28.19,107.85, 
70.34,105.53,22.72,11.35,0.81,38.75,-1.74,1.67,282.06,91.88,91647.85,28.18,108, 
70.51,109.2,20.37,11.41,0.84,39.5,-0.93,0.85,282.64,89.08,92611.67,28.18,108.16, 
72.65,115.8,17.11,11.92,0.89,39.43,-0.48,0.02,283.07,86.95,92991.13,28.18,108.31, 
70.65,115.48,13.09,11.24,0.9,42.62,-1.11,1.48,283.09,85.79,91502.41,28.17,108.46, 
72.88,120.49,10.07,11.32,0.93,43.25,-2.17,3.16,282.43,87.5,90367.65,28.17,108.62, 
76.52,128.91,7.92,13.1,1,40.14,-2.21,3.17,281.74,90.67,90742.58,28.16,108.77, 
79.73,138.06,6.11,16.73,1.1,38.42,-1.31,1.44,281.99,89.23,92301.54,28.16,108.93, 
83.01,143.08,5.53,19.92,1.18,35.87,-1.45,0.67,282.9,84.28,93790.27,28.15,109.08, 
86.51,144.01,4.85,20.68,1.2,34.96,-2.8,0.55,282.56,83.76,93134.07,28.15,109.23, 
90.22,145.55,4.66,21.43,1.22,34.61,-2.68,-0.53,282,84.02,92491.94,28.14,109.39, 
97.85,151.83,4.52,23.07,1.27,34.22,-1.03,-2.03,283.32,78.33,95067.81,28.14,109.54, 
108.44,160.7,5.22,24.97,1.32,36.13,-0.36,-2.46,285.32,71.61,98055.16,28.13,109.69, 
119.43,170.86,6.4,26.42,1.36,37.41,-0.92,-2.46,285.66,70.31,98252.97,28.12,109.85, 
125.19,179.45,7.86,28.81,1.44,37.07,-1.1,-2.84,286.07,68.36,98597.35,28.12,110, 
128.21,182.82,8.3,29.19,1.47,37.69,-0.81,-3.29,286.91,65.8,99411.93,28.11,110.15, 
125.85,178.24,7.6,26.33,1.43,43.88,-1.92,-1.59,286.61,66.5,97237.49,28.1,110.31, 
125.77,178.99,7.7,25.06,1.46,48.76,-3.62,-0.03,285.58,68.99,95322.06,28.1,110.46, 
125.91,182.8,7.74,24.92,1.5,52.19,-3.88,-1.19,285.95,67.2,96561.69,28.09,110.62, 
130.57,193.11,7.22,24.83,1.56,51.99,-3.59,-1.85,286.78,64.33,98025.69,28.08,110.77, 
134.96,202.2,7.53,25.22,1.64,53.13,-3.35,-0.75,286.8,64.46,97890.71,28.08,110.92, 
138.03,209.25,7.85,25.64,1.7,54.64,-3.3,-0.04,286.07,66.56,96579.91,28.07,111.08, 
141.05,216.9,8.28,25.42,1.78,56.91,-3.12,-1.62,285.43,68.22,95667.65,28.06,111.23, 
143.41,225.18,8.86,24.76,1.86,59.53,-2.41,-3.24,285.15,69.31,96071.42,28.05,111.38, 
146.7,232.58,9.06,25.8,1.93,61.15,-1.82,-2.72,285.01,70.4,96213.51,28.04,111.54, 
148.61,235.64,8.25,24.69,1.93,63.68,-1.23,-2.71,284.73,71.94,95719.13,28.04,111.69, 
149.78,238.65,7.55,24.49,1.94,64.44,-0.85,-3.51,285.17,70.46,96035.78,28.03,111.84, 
153.46,245.1,7.38,25.29,1.95,66.55,-0.64,-4.38,286.21,66.75,97648.77,28.02,112, 
159.55,253.39,7.2,27.92,1.97,64.69,-0.11,-4.58,287.37,63.53,99760.91,28.01,112.15, 
167.55,260.97,6.76,30.69,1.94,61.32,0.17,-4.53,287.94,62.95,100620.35,28,112.3, 
179.35,269,6.35,32.5,1.87,57.96,0.58,-4.89,288.01,64.14,100578.78,27.99,112.46, 
196.28,275.5,5.93,37.75,1.75,51.38,0.92,-4.93,288.62,65,100920.27,27.98,112.61, 
251.52,317.72,6.01,54.42,1.62,34.72,0.68,-4.7,289.24,64.03,101303.27,27.97,112.76, 
289.82,345.68,11.79,56.1,1.57,30.02,0.55,-4.43,289.47,61.61,101379.25,27.96,112.92, 
273.9,318.42,16.06,55.48,1.53,34.12,0.49,-3.92,289.57,60.81,101283.69,27.95,113.07, 
239.89,278.94,14.73,47.79,1.45,38.4,0.69,-3.84,289.62,60.7,101314.6,27.94,113.22, 
197.25,231.42,13.71,34.61,1.31,45.14,0.8,-2.98,289.28,62.19,100368.54,27.93,113.38, 
150.4,182.27,16.9,27.37,1.3,50.02,0.26,-1.76,289.25,62.16,99281.64,27.92,113.53, 
114.37,148.08,19.91,26.3,1.38,49.83,-0.86,-0.9,289.77,61.41,100024.8,27.91,113.68, 
105.35,140.46,21.1,28.7,1.47,48.13,-2.46,-0.33,289.81,61.59,99974.31,27.9,113.83, 
100.43,137.68,22.03,30.24,1.54,46.86,-3.03,-0.3,289.14,63.72,99222.59,27.89,113.99, 
93.5,131.83,23.24,32.52,1.54,46.98,-2.49,-0.49,289.22,64.27,99972.34,27.87,114.14, 
91.84,133.82,26.15,39.56,1.67,44.29,-2.16,-0.62,289.66,63.15,100631.29,27.86,114.29, 
80.72,123.2,27.35,41.85,1.54,45.14,-1.96,-0.42,289.6,64,100517.74,27.85,114.45, 
76.36,119.15,29.85,47.13,1.47,43.45,-1.58,-0.34,289.42,65.19,100420.65,27.84,114.6, 
77.27,123.23,33.34,51.93,1.52,42.49,-1.33,-0.69,289.54,65.52,100877.1,27.83,114.75, 
74.68,121.85,31.13,47.47,1.39,45.01,-1.28,-1.54,289.62,66.07,101410.71,27.81,114.9, 
72.8,117.4,24.11,38.48,1.21,50.2,-1.2,-2.19,289.62,66.84,101502.24,27.8,115.06, 
75.64,118.15,23.37,39.39,1.2,49.7,-1.21,-2.41,289.81,66.43,101687.24,27.79,115.21, 
75.69,117.63,23.83,40.4,1.2,48.76,-1.43,-2.32,290.3,62.55,101364.85,27.77,115.36, 
74.87,115.61,23.21,38.95,1.17,49.18,-1.75,-1.86,290.36,59.1,99637.65,27.76,115.51, 
74.14,112.69,20.08,33.7,1.12,51.95,-1.63,-1.72,290.1,58.93,98850.35,27.75,115.67, 
77.06,115.21,18.74,31.54,1.14,51.73,-1.04,-1.83,289.82,60.76,99780.55,27.73,115.82, 
76.36,111.39,17.84,26.19,1.08,54.85,-0.15,-0.95,289.91,61.65,100441.09,27.72,115.97, 
73.29,105.17,17.03,22.68,1.03,57.5,0.46,-0.7,290.22,61.09,101103.91,27.71,116.12, 
64.34,89.37,14.91,18.14,0.89,62.84,0.22,0.2,290.29,61.39,101025.21,27.69,116.28, 
53.8,72.28,13.7,15.23,0.73,61.91,-0.82,1.47,290.5,61.44,100176.58,27.68,116.43, 
48.22,63.9,13.84,15.62,0.66,57.79,-1.93,1.88,290.52,63,100139.16,27.66,116.58, 
42.25,55.52,13.44,14.32,0.58,57.73,-2.74,1.56,290.44,64.26,99581.34,27.65,116.73, 
41.35,54.12,13.44,14.63,0.56,56.13,-3.13,1.77,289.71,66.48,98290.37,27.63,116.89, 
41.96,54.99,13.48,15.06,0.54,55.79,-2.97,1.51,288.88,69.2,97042.71,27.62,117.04, 
40.33,53.25,13.94,15.78,0.52,57.31,-2.97,1.58,288.58,70.23,96357.4,27.6,117.19, 
39.38,52.58,14.25,16.68,0.52,57.77,-3.42,1.96,288.52,69.56,95848.78,27.59,117.34, 
36.69,49.1,12.86,13.94,0.5,60.76,-2.98,1.02,287.76,72.24,94747.45,27.57,117.49, 
33.2,44.46,10.25,9.75,0.48,64.78,-1.35,-0.36,288.08,71.64,95475.92,27.55,117.64, 
33,45.31,9.98,9.67,0.48,67.07,-0.17,-0.8,289.21,68.26,97869.4,27.54,117.8, 
32.35,45.48,10.15,10.9,0.48,65.83,-0.33,-0.82,289.39,68.29,99458.07,27.52,117.95, 
30.57,44.11,10.41,12.78,0.48,63.67,-0.84,-0.65,289.37,69.37,99019.55,27.51,118.1, 
27.5,39.89,8.55,10.38,0.43,65.33,-0.74,-0.24,289.17,70.87,98188.44,27.49,118.25, 
26.81,39.4,7.71,9.63,0.42,65.16,-0.41,0.12,288.84,72.68,97336.42,27.47,118.4, 
24,35.51,6.63,8.31,0.39,66.93,-0.32,0.67,288.83,73.26,96465.2,27.45,118.55, 
21.41,31.68,6.19,7.48,0.36,68.08,-1.08,0.56,289.08,72.54,97280.58,27.44,118.71, 
19.99,29.73,5.92,7.01,0.34,67.96,-2.28,1.29,289.19,71.09,96269.62,27.42,118.86, 
20.8,30.23,5.67,6.59,0.33,68.22,-2.23,1.33,287.14,77.63,92780.84,27.4,119.01, 
22.83,33.07,5.52,6.98,0.34,66.1,-0.65,0.78,285.78,82.52,90890.04,27.38,119.16, 
24.13,36.28,5.53,7.97,0.36,63.64,0.24,0.35,287.03,80.83,92511.99,27.37,119.31, 
26.06,40.91,6.39,10.79,0.41,57.77,-0.16,-0.34,288.45,79.56,95464.63,27.35,119.46, 
28.03,45.07,7.24,13.82,0.46,52.86,-0.85,-1.57,288.59,81.88,96442.77,27.33,119.61, 
28.05,43.86,6.17,13.36,0.45,54.2,-1.87,-1.2,287.71,87.01,95321,27.31,119.77, 
28.86,45.89,6.48,14.15,0.46,54.36,-1.96,-0.78,286.97,91.16,94243.23,27.29,119.92, 
28.33,45.99,7.67,15.92,0.45,54.69,-1.37,-1.6,288.04,92.91,96117.69,27.27,120.07, 
29.13,32.42,7.01,2.33,0.24,88.76,3.71,-0.74,276.54,64.3,71087.21,27.29,89.01, 
9.71,10.79,0.94,0.79,0.16,90.64,0.08,0.31,277.57,52.5,72430.35,27.62,91.73, 
8.1,8.97,0.75,0.73,0.14,85.09,1.51,-0.95,274.08,54.74,67204.54,27.64,91.88, 
6.97,7.69,0.63,0.6,0.13,83.25,3.88,-2.78,271.34,54.37,63118.57,27.66,92.03, 
5.64,6.16,0.51,0.39,0.12,86.48,6.02,-3.61,270.05,51.81,60921.65,27.67,92.18, 
